,video,description
0,mixkit-dog-catches-a-ball-in-a-river-1494.mp4,A person stands in a river with trees in the background and throws a ball for a white dog to catch.
0,mixkit-woman-meditating-with-her-dog-in-the-sunset-4800.mp4,"Woman meditating with her dog, with a beautiful view of the city during the sunset."
0,mixkit-a-couple-in-love-watching-a-romantic-sunset-4829.mp4,"A loving couple with a dog, sitting on a fence while watching a romantic sunset, give each other an affectionate kiss."
0,mixkit-dog-sitting-on-log-1550.mp4,"A brown and white collie sits on a log, with another log and plants in the background."
0,mixkit-smiling-dog-1552.mp4,"A brown and white dog smiles at the camera, then looks to the side before staring at the camera again."
0,mixkit-a-woman-walks-through-a-park-with-a-dog-1532.mp4,"A woman walks through a park next to a brown and white dog, with the sun poking through trees in the background."
0,mixkit-person-inside-a-tent-with-dog-576.mp4,"A person sits inside a tent with the flap door open, through with a campfire is visible, and a black dog sitting next to the fire. Int he background, a body of water and trees."
0,mixkit-two-puppies-side-by-side-1210.mp4,Two puppies side by side with their tongues out.
0,mixkit-little-dog-running-in-snow-in-slow-motion-25225.mp4,Little dog running in snow in slow motion
0,mixkit-a-dog-resting-on-the-grass-next-to-a-dog-1479.mp4,Slow motion video of a dog resting on the grass next to a dog toy. Big dog waiting for orders. A tired dog breathing with its tongue out.
0,mixkit-dog-catches-a-frisbee-in-mid-air-1557.mp4,"A black and white dog jumps to catch a blue frisbee in mid-air, with trees and a clear sky in the background and dried leaves on the ground."
0,mixkit-man-and-woman-playing-with-a-dog-in-a-garden-42719.mp4,Man and woman playing with a dog with a ball in the garden of a house on a sunny day.
0,mixkit-dog-being-petted-1478.mp4,A golden retriever sits on the grass while a bearded man wearing a blue baseball cap pets his face.
0,mixkit-man-with-his-dog-watching-the-sunset-on-the-horizon-4839.mp4,"Man sitting with his dog to the side, he holds out his hand with a ball, while he watches the sunset on the horizon peacefully."
0,mixkit-dog-playing-in-slow-motion-1211.mp4,Slow motion view of a dog playing Dog playing in a studio.dio.
0,mixkit-dogs-playing-in-the-forest-14245.mp4,Dogs playing in the forest
0,mixkit-dog-and-owner-playing-with-a-ball-in-a-creek-1495.mp4,"A person wearing a black baseball hat, a black t-shirt and khaki shorts stands ankle deep in a creek and throws a tennis ball to a yellow labrador retriever. The dog chases the ball, splashing in the river as it runs."
0,mixkit-dog-walking-with-its-owner-in-a-park-1476.mp4,"Slow motion shot of a dog with a dog leash walking with its owner holding it, late afternoon, in a park with people doing sports and houses in the background. Big dog walking next to a man in a park with green grass."
0,mixkit-dog-shaking-off-the-water-on-the-beach-15933.mp4,Dog shaking off the water on the beach
0,mixkit-little-dog-running-in-the-snow-25150.mp4,Little dog running in the snow
0,mixkit-girls-playing-with-dog-in-the-park-25007.mp4,Girls playing with dog in the park
0,mixkit-little-dog-lying-down-bored-and-sad-4812.mp4,"Little dog lying on the carpet in the sun coming through the window, bored and sad."
0,mixkit-panting-dog-1548.mp4,A brown and white dog pants and sticks its tongue out.
0,mixkit-corgi-dog-running-in-an-autum-forest-25094.mp4,Corgi dog running in an autum forest
0,mixkit-cute-dog-looking-at-the-camera-with-curiosity-33166.mp4,Cute dog looking at the camera with curiosity
0,mixkit-dog-licking-nose-1551.mp4,"A brown and white collie looks away from the camera, then turns and licks its nose as people walk by in the background."
0,mixkit-girl-and-her-puppy-watching-videos-14938.mp4,Girl and her puppy watching videos
0,mixkit-family-playing-with-a-dog-in-the-garden-23072.mp4,Family playing with a dog in the garden
0,mixkit-a-black-dog-taking-the-sun-in-the-door-550.mp4,A black dog taking the sun in the front door of a cabin in the forest.
0,mixkit-small-puppies-of-the-bull-terrier-breed-on-a-carpet-33157.mp4,Small puppies of the Bull Terrier breed on a carpet
0,mixkit-team-of-husky-sled-dogs-running-in-the-snow-7355.mp4,Team of husky sled dogs running in the snow
0,mixkit-female-runner-walks-her-dog-3123.mp4,"Woman wearing sportswear runs with her little dog in the street, there are tall trees on the side of the road."
0,mixkit-happy-couple-petting-their-dog-42727.mp4,"Happy couple of man and woman, sitting on the porch of a house while petting their dog."
0,mixkit-bathing-a-small-and-calm-dog-1665.mp4,A small dog soaped being bathed by a person.
0,mixkit-smiling-dog-in-a-forest-1560.mp4,"A brown and white dog sitting, waiting in a forest with a lot of trees in the background and leaves on the ground."
0,mixkit-french-bulldog-eating-a-treat-in-slow-motion-1212.mp4,A French Bulldog eating a treat in slow motion.
0,mixkit-young-girl-playing-with-a-puppy-6178.mp4,Young girl playing with a puppy
0,mixkit-father-and-daughter-together-watching-television-with-their-little-dog-10468.mp4,"Father and daughter sitting in a room surrounded by stuffed animals while watching TV and reacting together with laughter, the father has a small white dog on his legs."
0,mixkit-little-girl-asleep-with-her-dog-36138.mp4,Little girl asleep with her dog
0,mixkit-dachshund-dog-while-hands-caress-it-10361.mp4,Focus on the head of a dachshund dog looking directly at the camera as it turns everywhere and a person's hands hold it and caress its hair and ears.
0,mixkit-little-puppies-eating-33160.mp4,Little puppies eating
0,mixkit-dachshund-dog-running-through-a-park-to-reach-its-owner-10365.mp4,Small Dachshund dog running through a park while reaching the feet of its owner who was jogging with sportswear.
0,mixkit-two-dogs-resting-with-their-owners-on-a-park-bench-10359.mp4,"A large Labrador Retriever and a small Dachshund dog, resting on a park bench while their owners gently pet them."
0,mixkit-dog-in-the-middle-of-a-goat-herd-10200.mp4,Dog in the middle of a goat herd
0,mixkit-a-dog-waiting-for-a-haircut-1660.mp4,"A white dog with long, careless hair waiting for his haircut while lying."
0,mixkit-dog-standing-on-a-log-1555.mp4,"A brown and white collie stand still on a log, then jumps off."
0,mixkit-man-and-woman-petting-their-dog-in-a-garden-42715.mp4,"Cheerful man and woman petting their dog in the garden at home, on a sunny day."
0,mixkit-hungry-and-thirsty-stray-dog-33011.mp4,Hungry and thirsty stray dog
0,mixkit-portrait-of-a-rottweiler-waving-34922.mp4,Portrait of a Rottweiler waving
0,mixkit-girl-and-dog-running-in-the-park-path-25009.mp4,Girl and dog running in the park path
0,mixkit-husky-sled-dogs-running-in-slow-motion-7358.mp4,Husky sled dogs running in slow motion
0,mixkit-man-gives-his-dogs-water-to-drink-from-a-bottle-27021.mp4,Man gives his dogs water to drink from a bottle
0,mixkit-dog-sitting-on-the-grass-waiting-for-its-owner-33155.mp4,Dog sitting on the grass waiting for its owner
0,mixkit-corgi-dog-in-the-grassfield-25093.mp4,Corgi dog in the grassfield
0,mixkit-little-girl-playing-video-games-with-her-father-10463.mp4,"Little girl with her father seen from the back in front of a television with some stuffed animals around, playing a Mario Bros video game, while she explains to him how to play."
0,mixkit-person-and-dog-walk-among-trees-517.mp4,"A person wearing a large grey jacket and black pants walks next to a black and white dog. Both are walking through a forest, the sun shining through the dense trees."
0,mixkit-cute-little-dog-on-top-of-a-log-33156.mp4,Cute little dog on top of a log
0,mixkit-sad-hungry-dog-getting-wet-in-the-rain-33012.mp4,Sad hungry dog getting wet in the rain
0,mixkit-dog-with-its-tongue-out-1209.mp4,Dog sitting alone with its tongue out.
0,mixkit-man-and-woman-walking-a-dog-in-a-garden-42745.mp4,Romantic couple of man and woman walking a dog through the sunny garden of a large house in nature.
0,mixkit-young-lady-doing-yoga-outside-with-her-dog-6498.mp4,Young lady doing Yoga outside with her dog
0,mixkit-woman-playing-with-a-dog-in-a-garden-42744.mp4,Young woman playing with a dog with a ball in the sunny garden of a house in nature.
0,mixkit-dog-asking-for-petting-behind-a-cage-33153.mp4,Dog asking for petting behind a cage
0,mixkit-dog-barking-behind-a-wire-fence-32330.mp4,Dog barking behind a wire fence
0,mixkit-girl-lying-on-the-grass-holding-her-little-dog-on-10352.mp4,"Young woman lying on the grass in the middle of a park with trees, while holding her little dog in her hands, he licks her face and she says some words to him."
0,mixkit-person-walking-a-dog-in-the-forest-518.mp4,"A person wearing a large dark jacket walks next to a small black dog in a forest, surrounded by trees and the sun shining through."
0,mixkit-dog-groomer-cutting-hair-to-a-white-dog-1664.mp4,Dog grooming cutting the hair of a white dog's head with scissors.
0,mixkit-adorable-dog-in-a-grooming-pet-1661.mp4,"Groomer combing an adorable white dog with a hair comb, close up shot."
0,mixkit-a-man-walking-his-dog-in-the-morning-1493.mp4,A man walking a white dog through the grass in the forest as the sun rises in the early morning.
0,mixkit-a-wild-dog-resting-in-a-mud-puddle-11282.mp4,A wild dog resting in a mud puddle
0,mixkit-woman-petting-her-dog-on-the-lawn-42736.mp4,"Cheerful young woman petting her dog, sitting on the grass in a sunny garden."
0,mixkit-little-pit-bull-dog-terrier-34938.mp4,Little pit bull dog terrier
0,mixkit-little-white-puppy-looking-around-33161.mp4,Little white puppy looking around
0,mixkit-cute-dog-plays-with-his-cloth-toy-with-its-owner-33158.mp4,Cute dog plays with his cloth toy with its owner
0,mixkit-woman-playing-with-two-dogs-16247.mp4,Woman playing with two dogs
0,mixkit-dog-and-frisbee-1558.mp4,"A red frisbee flies by and a black and white dog runs after it, many trees and a clear sky in the background."
0,mixkit-a-dog-in-the-park-1556.mp4,A sitting brown and white dog stands from his seat in a park.
0,mixkit-a-man-walking-his-dog-at-a-forestin-the-morning-1492.mp4,A man walking his dog at a forest in the morning. A white dog following his owner at nature.
0,mixkit-dog-cubs-feeding-7270.mp4,Dog cubs feeding
0,mixkit-man-walking-his-dog-in-a-forest-537.mp4,Man walking over a fallen tree in a forest with his dog.
0,mixkit-rottweiler-waiting-in-a-forest-34921.mp4,Rottweiler waiting in a forest
0,mixkit-person-and-dog-walk-in-a-creek-1499.mp4,"A person wearing shorts and a grey t-shirt holding a tennis ball in their hands walks next to a white dog, both walking through a small bit of water like a creek."
0,mixkit-a-cute-dog-giving-the-paw-while-sitting-on-a-1496.mp4,A cute dog giving the paw. A white dog sitting on a small steam. A man asking to his dog to hive him a paw.
0,mixkit-husky-sled-dogs-in-harness-7267.mp4,Husky sled dogs in harness
0,mixkit-little-white-puppy-bull-terrier-33163.mp4,Little white puppy Bull Terrier
0,mixkit-hungry-puppies-eating-together-33017.mp4,Hungry puppies eating together
0,mixkit-dog-barking-in-nature-32552.mp4,Dog barking in nature
0,mixkit-dog-laying-on-the-grass-1553.mp4,A brown and white dog lays on the grass while being pet.
0,mixkit-labrador-sleeping-with-a-tablet-15193.mp4,Labrador sleeping with a tablet
0,mixkit-woman-playing-with-her-dog-6299.mp4,Woman playing with her dog
0,mixkit-a-cute-dog-inside-a-car-looking-around-1668.mp4,A cute dog wearing a pearl necklace and a white bow inside a car looking around in slow motion.
0,mixkit-dog-jumping-off-a-log-1549.mp4,"A brown and white collie sits on a log with trees, logs and plants in the background, then jumps off and runs into the trees."
0,mixkit-a-dog-and-its-owner-at-a-park-1474.mp4,"A yellow dog on a leash stand next to it's owner in a park, both standing still with the sun shining through the trees behind them."
0,mixkit-small-brown-dog-in-nature-10355.mp4,"Close shot of a small brown dog tied on a blue leash by the side of a tree trunk in the middle of a park, while panting with his tongue out."
0,mixkit-woman-playing-ball-with-a-dog-42747.mp4,Young woman playing ball with a dog in the sunny garden of a house in nature.
0,mixkit-little-girl-lovingly-hugging-her-dog-36148.mp4,Little girl lovingly hugging her dog
0,mixkit-small-cute-dog-combed-by-its-owner-1659.mp4,Small cute Yorkshire Terrier dog combed with a brush by its owner in slow motion.
0,mixkit-a-woman-pets-her-dog-in-the-park-1530.mp4,"A brown and white dog leans up on a woman in a park while she pets its head and ears, with dried leaves on the floor and trees in the background."
0,mixkit-a-man-walks-with-his-dog-in-a-creek-on-1498.mp4,"A barefoot man walks with his dog in a creek on a forest, low view. A wet dog following its owner on a sunny day at nature. A man exploring with his dog."
0,mixkit-couple-walking-with-their-dogs-through-a-park-10366.mp4,"Young couple walking peacefully with their dogs through a park, while chatting at ease, during a sunny day."
0,mixkit-man-and-woman-chatting-in-a-park-with-their-dogs-10354.mp4,"Friends chatting in a park, while they take their dogs for a walk and she caresses them."
0,mixkit-loving-couple-petting-their-dog-42725.mp4,"Affectionate couple petting their dog sitting on the porch of their house, while laughing and kissing on a sunny day."
0,mixkit-dog-shaking-off-on-a-sunny-beach-38409.mp4,Dog shaking off on a sunny beach
0,mixkit-dogs-chilling-in-the-street-32376.mp4,Dogs chilling in the street
0,mixkit-dog-resting-on-the-rocks-in-the-beach-32331.mp4,Dog resting on the rocks in the beach
0,mixkit-walking-a-dog-in-the-rain-27686.mp4,Walking a dog in the rain
0,mixkit-excited-dog-in-a-yard-26188.mp4,Excited dog in a yard
0,mixkit-dogs-exploring-the-snow-26054.mp4,Dogs exploring the snow
0,mixkit-stroking-a-dog-lying-on-the-grass-18198.mp4,Dog lying on the grass in a park while being gently caressed by a man's hand.
0,mixkit-a-german-shepherd-dog-rolling-over-13183.mp4,A German shepherd dog rolling over
0,mixkit-couple-with-dogs-resting-on-park-bench-10350.mp4,"A couple of a man and a woman, sitting on a bench with their two dogs, resting in a park, with grass and trees, during a sunny day."
0,mixkit-dog-nose-close-up-8492.mp4,Dog nose close up
0,mixkit-woman-doing-yoga-at-the-beach-6232.mp4,Woman doing Yoga at the beach
0,mixkit-woman-doing-yoga-with-her-pet-dog-6156.mp4,Woman doing Yoga with her pet dog
0,mixkit-man-drinking-coffee-out-his-cabin-551.mp4,"A man drinking coffee at the door of his cabin, accompanied by his dog during the morning."
0,mixkit-woman-and-her-dog-in-a-forest-534.mp4,A woman and her dog in a forest. The woman is sitting on a log while drinking from a mug.
0,mixkit-girl-stroking-her-dog-in-nature-in-autumn-36063.mp4,Girl stroking her dog in nature in autumn
0,mixkit-girl-with-pet-dog-in-the-playground-25212.mp4,Girl with pet dog in the playground
0,mixkit-dalmatian-holding-a-stick-21029.mp4,Dalmatian holding a stick
0,mixkit-dog-walking-by-an-agriculture-green-field-19483.mp4,Dog walking by an agriculture green field
0,mixkit-a-woman-pets-a-dog-in-a-park-1562.mp4,"A woman sits among dried leaves next to a brown and white dog, petting its head, with a background of trees and the sun."
0,mixkit-young-girl-taking-a-nap-with-her-puppy-14952.mp4,Young girl taking a nap with her puppy
0,mixkit-a-man-petting-a-dog-in-the-grass-1481.mp4,A man wearing a blue cap is petting and playing with a dog in the grass at outdoors.
0,mixkit-dog-barking-on-a-white-background-8490.mp4,Dog barking on a white background
0,mixkit-dog-looking-at-something-8399.mp4,Dog looking at something
0,mixkit-woman-with-her-pet-dog-6664.mp4,Woman with her pet dog
0,mixkit-group-of-friends-talking-sitting-in-a-garden-42722.mp4,Group of four friends talking and laughing sitting in a garden with a dog on a sunny day.
0,mixkit-man-training-a-dog-by-making-him-jump-a-hurdle-39515.mp4,Man training a dog by making him jump a hurdle
0,mixkit-girl-stroking-her-dog-in-the-forest-34885.mp4,Girl stroking her dog in the forest
0,mixkit-young-woman-smiles-at-her-pet-33165.mp4,Young woman smiles at her pet
0,mixkit-hungry-stray-dog-lies-down-on-the-floor-33164.mp4,Hungry stray dog lies down on the floor
0,mixkit-cute-wet-dog-in-the-bathtub-after-a-bath-33103.mp4,Cute wet dog in the bathtub after a bath
0,mixkit-corgi-dog-enjoying-the-beach-25174.mp4,Corgi dog enjoying the beach
0,mixkit-girl-running-in-the-beach-with-her-dog-25139.mp4,Girl running in the beach with her dog
0,mixkit-person-carrying-a-little-dog-1657.mp4,A person who wears a pink polo shirt carries a brown hairy dog that has an open mouth with its tongue out
0,mixkit-a-man-walking-with-his-dog-in-a-forest-1500.mp4,"A man walks with his dog in a forest, low view. A white dog following its owner on a sunny day at nature. A man exploring with his dog."
0,mixkit-young-child-with-a-puppy-taking-a-selfie-6396.mp4,Young child with a puppy taking a selfie
0,mixkit-group-of-friends-hanging-out-in-a-garden-42746.mp4,"Two boys and two girls, friends, playing and talking in a sunny garden, with a dog."
0,mixkit-happy-couple-petting-their-dog-42735.mp4,"Happy in love man and woman petting their dog, sitting on the stairs while joking and kissing each other."
0,mixkit-man-teaching-tricks-to-his-dog-36528.mp4,Man teaching tricks to his dog
0,mixkit-toy-terrier-taking-a-sunbath-in-the-floor-34639.mp4,Toy Terrier taking a sunbath in the floor
0,mixkit-cute-dog-among-the-grass-in-the-park-33159.mp4,Cute dog among the grass in the park
0,mixkit-happy-lady-caresses-her-little-dog-33149.mp4,Happy lady caresses her little dog
0,mixkit-woman-strokes-her-dogs-on-the-grass-27022.mp4,Woman strokes her dogs on the grass
0,mixkit-labrador-licks-his-owner-24979.mp4,Labrador licks his owner
0,mixkit-prairie-dogs-eating-in-a-group-22404.mp4,Prairie Dogs eating in a group
0,mixkit-maned-wolf-in-the-high-grass-17942.mp4,Maned wolf in the high grass
0,mixkit-labrador-enjoying-a-head-scratch-17123.mp4,Labrador enjoying a head scratch
0,mixkit-dog-groomer-working-with-a-little-dog-1662.mp4,A dog hairdresser combing the hair of a small dog that is tied with a red leash around the neck.
0,mixkit-puppy-laying-in-their-bed-16619.mp4,Puppy laying in their bed
0,mixkit-woman-with-dog-sitting-on-balcony-1534.mp4,A woman with a dog sit together on a balcony looking out into the distance.
0,mixkit-a-dog-with-its-owner-in-a-forest-1497.mp4,A dog with a necklace shakes the water in front of a river in a forest next to its owner.
0,mixkit-girl-in-a-park-carrying-and-petting-her-cocker-spaniel-10360.mp4,"Young woman in nature seen up close, while holding and petting her little Cocker Spaniel, lovingly watching him and then turning directly to the lens."
0,mixkit-man-in-a-park-strokes-his-dog-down-10358.mp4,"Young man sitting squatting in a park, while lovingly stroking his dog, during a warm sunny day."
0,mixkit-dog-tied-on-a-leash-to-a-tree-9466.mp4,Dog tied on a leash to a tree
0,mixkit-stray-dog-sunbathing-9464.mp4,Stray dog sunbathing
0,mixkit-doog-catching-food-8432.mp4,Doog catching food
0,mixkit-woman-taking-a-selfie-with-her-dog-6400.mp4,Woman taking a selfie with her dog
0,mixkit-young-family-hugging-their-dog-546.mp4,"A man wearing a grey sweater sits on a wooden staircase petting a small black dog that sits on his lap, when a woman wearing socks, black leggings and a white knit sweater comes down the stairs, pets the dog, kisses the man on the forehead and sits on the stairs next to him."
0,mixkit-man-pets-his-dog-in-the-forest-542.mp4,"A man wearing a blue hooded jacket sits on a rock petting a black and white dog next to him, trees in the background."
0,mixkit-army-dog-sniffing-in-a-forest-39506.mp4,Army dog ​​sniffing in a forest
0,mixkit-man-training-a-dog-outdoors-36496.mp4,"Man training a dog, outdoors"
0,mixkit-woman-throwing-a-stick-at-her-dog-in-the-woods-36488.mp4,Woman throwing a stick at her dog in the woods
0,mixkit-person-brushing-the-hair-of-a-small-dog-36248.mp4,Person brushing the hair of a small dog
0,mixkit-young-woman-meditating-with-her-dog-aside-near-sea-35965.mp4,Young woman meditating with her dog aside near sea
0,mixkit-young-woman-running-with-her-dog-near-a-coast-35964.mp4,Young woman running with her dog near a coast
0,mixkit-person-bathing-his-dog-in-the-bathtub-33100.mp4,Person bathing his dog in the bathtub
0,mixkit-sad-and-hungry-dog-lost-under-rain-33018.mp4,Sad and hungry dog lost under rain
0,mixkit-dog-laying-on-a-stone-beach-32332.mp4,Dog laying on a stone beach
0,mixkit-homeless-sad-dog-by-the-sea-31982.mp4,Homeless sad dog by the sea
0,mixkit-dogsled-team-heading-through-a-forest-27745.mp4,Dogsled team heading through a forest
0,mixkit-homeless-dog-running-along-the-coast-25940.mp4,Homeless dog running along the coast
0,mixkit-woman-with-corgi-dog-reading-in-the-park-25024.mp4,Woman with corgi dog reading in the park
0,mixkit-petting-a-labrador-24978.mp4,Petting a Labrador
